cod_pedido;cod_cliente;cod_fornecedor;cod_categoria;cod_produto;cod_transportadora;cod_filial;cod_funcionario;cod_vendedor;data_pedido;valor_item;valor_total;qtde_item;desconto_item;vendedor;cargo_vendedor;data_admissao;salario_vendedor;endereco_filial;cidade_filial;pais_filial;transportadora;produto;custo_produto;preco_produto;estoque_produto;categoria_produto;grupo_produto;fornecedor;contato_fornecedor;endereco_fornecedor;cidade_fornecedor;pais_fornecedor;cliente;contato_cliente;endereco_cliente;cidade_cliente;pais_cliente;frete_item
10362;44;25;3;54;2;2;8;8;20/11/2018;37,07;889,68;24;0;Leif Shine;Sales Coordinator;05/03/2004;5416,6666666667;Mellangatan. 33;Lund;Sweden;SafeAndFast;Patamonia Fleece Jacket;30,27;35,45;21;Sportswear;Sports clothing;Mountain International;Celine Dion;2960 Rue St. Laurent;Montr‚al;Canada;Warp AG;Klaus Deum;Magazinweg 7;Frankfurt a.M.;Germany;10,445106382979
10362;44;24;6;51;2;2;8;8;20/11/2018;109,79;2195,8;20;0;Leif Shine;Sales Coordinator;05/03/2004;5416,6666666667;Mellangatan. 33;Lund;Sweden;SafeAndFast;Summit Hiking Boots;82,74;99,9;20;"Men's Footwear";Men Shoes;Cangaroo Shoes;Crocodile Dundee;"170 Prince Edward Parade Hunter's Hill";Sydney;Australia;Warp AG;Klaus Deum;Magazinweg 7;Frankfurt a.M.;Germany;8,7042553191489
10363;17;23;2;76;2;2;8;8;20/02/2021;432,53;5190,36;12;0;Leif Shine;Sales Coordinator;05/03/2004;5416,6666666667;Mellangatan. 33;Lund;Sweden;SafeAndFast;Halter Dress;304,7;399;57;"Women's Clothes";Fashion for Women;Nordik Koskenkorva;Juha Mieto;Valtakatu 12;Lappeenranta;Finland;Gluderstedt;Lars von Holstein;Walserweg 21;Aachen;Germany;9,9654545454545
10363;17;14;1;31;2;2;8;8;20/02/2021;9,3;186;20;0;Leif Shine;Sales Coordinator;05/03/2004;5416,6666666667;Mellangatan. 33;Lund;Sweden;SafeAndFast;Rossi Bermuda Shorts;7,53;8,5;0;"Men's Clothes";Fashion for Men;Ravenna Fashion;Pablo Rossi;Viale Dante, 75;Ravenna;Italy;Gluderstedt;Lars von Holstein;Walserweg 21;Aachen;Germany;16,609090909091
10363;17;12;1;75;2;2;8;8;20/02/2021;8,06;96,72;12;0;Leif Shine;Sales Coordinator;05/03/2004;5416,6666666667;Mellangatan. 33;Lund;Sweden;SafeAndFast;Bow tie;6,61;7,75;125;"Men's Clothes";Fashion for Men;Austerlich;Karl Heinz Berger;Bogenallee 51;Frankfurt;Germany;Gluderstedt;Lars von Holstein;Walserweg 21;Aachen;Germany;9,9654545454545
10364;19;15;3;69;2;1;2;2;21/11/2018;2,05;61,5;30;0;Erik Presley;President;14/09/1993;15000;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Tube Socks;1,65;2;26;Sportswear;Sports clothing;Bar keri;Atle Sk†rdal;Hatlevegen 5;Sandvika;Norway;Th Fashing;Greg Thatcher;35 King George;London;UK;28,842857142857
10364;19;15;1;71;2;1;2;2;21/11/2018;29,73;148,65;5;0;Erik Presley;President;14/09/1993;15000;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Atles Lussekofta;26,49;30,5;26;"Men's Clothes";Fashion for Men;Bar keri;Atle Sk†rdal;Hatlevegen 5;Sandvika;Norway;Th Fashing;Greg Thatcher;35 King George;London;UK;4,8071428571429
10365;3;5;1;11;2;1;2;2;22/11/2018;29,48;707,52;24;0;Erik Presley;President;14/09/1993;15000;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Desperado Jeans;21,1;28;22;"Men's Clothes";Fashion for Men;Los Hombres Machos;Antonio Banderas;Calle del Rosal 4;Oviedo;Spain;La Ropa Vieja;Sancho Panza;C/ Ritual de lo Habitual  2312;México D.F.;Mexico;35,04
10366;29;12;2;77;1;3;4;4;23/11/2018;12,71;63,55;5;0;Joan Callins;Sales Manager;03/09/1994;10000;66 Rue de Qlik;Paris;France;Quik Shipping;Wrap Skirt;10,95;13;32;"Women's Clothes";Fashion for Women;Austerlich;Karl Heinz Berger;Bogenallee 51;Frankfurt;Germany;El Chandal del Barca;Jusep del pep;Rambla de Cataluña, 23;Barcelona;Spain;11,92
10366;29;2;2;65;1;3;4;4;23/11/2018;9,12;45,6;5;0;Joan Callins;Sales Manager;03/09/1994;10000;66 Rue de Qlik;Paris;France;Quik Shipping;Stretch Pants;8,68;10,05;76;"Women's Clothes";Fashion for Women;Big L;James Brown;P.O. Box 78934;New Orleans;USA;El Chandal del Barca;Jusep del pep;Rambla de Cataluña, 23;Barcelona;Spain;11,92
10367;79;16;4;34;2;2;7;7;22/02/2021;7,56;272,16;36;0;Tom Lindwall;Sales Representative;22/11/1995;5083,3333333333;Mellangatan. 33;Lund;Sweden;SafeAndFast;Baywatch Swimsuit;6,76;8;111;Swimwear;Beach clothing;Smooth Clothes;Pamela Andersson;3400 - 8th Avenue Suite 210;Bend;USA;Boombastic;Heinz Disco;Luisenstr. 48;Münster;Germany;26,943157894737
10367;79;2;2;65;2;2;7;7;22/02/2021;9,41;141,15;15;0;Tom Lindwall;Sales Representative;22/11/1995;5083,3333333333;Mellangatan. 33;Lund;Sweden;SafeAndFast;Stretch Pants;8,68;10,05;76;"Women's Clothes";Fashion for Women;Big L;James Brown;P.O. Box 78934;New Orleans;USA;Boombastic;Heinz Disco;Luisenstr. 48;Münster;Germany;11,226315789474
10367;79;12;2;77;2;2;7;7;22/02/2021;14,23;99,61;7;0;Tom Lindwall;Sales Representative;22/11/1995;5083,3333333333;Mellangatan. 33;Lund;Sweden;SafeAndFast;Wrap Skirt;10,95;13;32;"Women's Clothes";Fashion for Women;Austerlich;Karl Heinz Berger;Bogenallee 51;Frankfurt;Germany;Boombastic;Heinz Disco;Luisenstr. 48;Münster;Germany;5,2389473684211
10367;79;25;3;54;2;2;7;7;22/02/2021;37,37;672,66;18;0;Tom Lindwall;Sales Representative;22/11/1995;5083,3333333333;Mellangatan. 33;Lund;Sweden;SafeAndFast;Patamonia Fleece Jacket;30,27;35,45;21;Sportswear;Sports clothing;Mountain International;Celine Dion;2960 Rue St. Laurent;Montr‚al;Canada;Boombastic;Heinz Disco;Luisenstr. 48;Münster;Germany;13,471578947368
10368;73;12;5;64;2;1;3;3;24/11/2018;32,34;1018,7099983133;35;0,10000000149012;Rob Carsson;Sales Representative;01/10/1994;5250;Citygatan. 1;Stockholm;Sweden;SafeAndFast;WFS Shoes;29,25;33,25;22;"Women's Footwear";Ladies Shoes;Austerlich;Karl Heinz Berger;Bogenallee 51;Frankfurt;Germany;Rode & Vite;Preben Elkjaer;Vinbæltet 34;København;Denmark;30,346794871795
10368;73;8;3;21;2;1;3;3;24/11/2018;10,53;47,384999921545;5;0,10000000149012;Rob Carsson;Sales Representative;01/10/1994;5250;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Basket Shoes;8,78;10;3;Sportswear;Sports clothing;Hot Pants;David Leg;"29 King's Way";Manchester;UK;Rode & Vite;Preben Elkjaer;Vinbæltet 34;København;Denmark;4,3352564102564
10368;73;12;7;28;2;1;3;3;24/11/2018;47,47;555,39899908043;13;0,10000000149012;Rob Carsson;Sales Representative;01/10/1994;5250;Citygatan. 1;Stockholm;Sweden;SafeAndFast;RDL Suit;36,81;45,6;26;"Children's Clothes";3-15 Years;Austerlich;Karl Heinz Berger;Bogenallee 51;Frankfurt;Germany;Rode & Vite;Preben Elkjaer;Vinbæltet 34;København;Denmark;11,271666666667
10368;73;26;5;57;2;1;3;3;24/11/2018;18,05;451,25;25;0;Rob Carsson;Sales Representative;01/10/1994;5250;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Lightweight Sandals;16,14;19,5;36;"Women's Footwear";Ladies Shoes;Pirilli Company;Alberto Tomba;Via dei Gelsomini, 153;Salerno;Italy;Rode & Vite;Preben Elkjaer;Vinbæltet 34;København;Denmark;21,676282051282
10369;75;26;5;56;3;5;1;1;27/11/2018;39,42;532,17;18;0,25;Frank Roll;Sales Representative;01/10/2003;5083,3333333333;234 Sun Street;Seattle;USA;World Wide Transports;Slip-on Shoes;34,17;38;21;"Women's Footwear";Ladies Shoes;Pirilli Company;Alberto Tomba;Via dei Gelsomini, 153;Salerno;Italy;Macalena;Paul Smith;P.O. Box 555;Lander;USA;27,175263157895
10369;75;12;6;29;3;5;1;1;27/11/2018;117,78;2355,6;20;0;Frank Roll;Sales Representative;01/10/2003;5083,3333333333;234 Sun Street;Seattle;USA;World Wide Transports;Davenport Shoes;100,74;123,79;0;"Men's Footwear";Men Shoes;Austerlich;Karl Heinz Berger;Bogenallee 51;Frankfurt;Germany;Macalena;Paul Smith;P.O. Box 555;Lander;USA;30,194736842105
10370;32;1;1;1;3;5;1;1;28/04/2019;21,56;274,88999807239;15;0,15000000596046;Frank Roll;Sales Representative;01/10/2003;5083,3333333333;234 Sun Street;Seattle;USA;World Wide Transports;Lenin Jeansshorts;15,37;20;39;"Men's Clothes";Fashion for Men;Sunny Clothes;Peter Shilton;49 Gilbert St.;London;UK;The Corner Store;Ross The Boss;2732 Baker Blvd.;Eugene;USA;6,7038461538462
10370;32;12;5;64;3;5;1;1;28/04/2019;34,02;1020,6;30;0;Frank Roll;Sales Representative;01/10/2003;5083,3333333333;234 Sun Street;Seattle;USA;World Wide Transports;WFS Shoes;29,25;33,25;22;"Women's Footwear";Ladies Shoes;Austerlich;Karl Heinz Berger;Bogenallee 51;Frankfurt;Germany;The Corner Store;Ross The Boss;2732 Baker Blvd.;Eugene;USA;13,407692307692
10370;32;4;7;74;3;5;1;1;28/04/2019;32,64;554,87999610901;20;0,15000000596046;Frank Roll;Sales Representative;01/10/2003;5083,3333333333;234 Sun Street;Seattle;USA;World Wide Transports;X-Train Shoes;24,39;30;4;"Children's Clothes";3-15 Years;Nitsuchiba;James Sushi;9-8 Sekimai Musashino-shi;Tokyo;Japan;The Corner Store;Ross The Boss;2732 Baker Blvd.;Eugene;USA;8,9384615384615
10371;41;17;8;36;1;3;4;4;28/11/2018;7,77;37,295999861062;6;0,20000000298023;Joan Callins;Sales Manager;03/09/1994;10000;66 Rue de Qlik;Paris;France;Quik Shipping;Mehmet-Tröja;6,45;8;112;Baby Clothes;0-3 Years;ABC;Anna Book;Brovallav„gen 231;Stockholm;Sweden;Elle Fashion & Design;Louise Davu;1 rue Alsace-Lorraine;Toulouse;France;66,09
10372;62;8;3;20;2;1;2;2;30/07/2021;81,24;731,16;12;0,25;Erik Presley;President;14/09/1993;15000;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Tennis Suit;64,49;81;40;Sportswear;Sports clothing;Hot Pants;David Leg;"29 King's Way";Manchester;UK;Roba di Piel;Jorge Alemaio;Alameda dos Canàrios, 891;São Paulo;Brazil;2,2068292682927
10372;62;28;3;60;2;1;2;2;30/07/2021;5,3;278,25;70;0,25;Erik Presley;President;14/09/1993;15000;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Game Over T-Shirt;4,44;5;19;Sportswear;Sports clothing;FrisersAfrong;Yannik Noah;Bat. B 3, rue des Alpes;Annecy;France;Roba di Piel;Jorge Alemaio;Alameda dos Canàrios, 891;São Paulo;Brazil;12,873170731707
10372;62;14;2;72;2;1;2;2;30/07/2021;10,75;338,625;42;0,25;Erik Presley;President;14/09/1993;15000;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Oyaki Kimono;8,96;11,8;14;"Women's Clothes";Fashion for Women;Ravenna Fashion;Pablo Rossi;Viale Dante, 75;Ravenna;Italy;Roba di Piel;Jorge Alemaio;Alameda dos Canàrios, 891;São Paulo;Brazil;7,7239024390244
10372;62;18;2;38;2;1;2;2;30/07/2021;77,94;2338,2;40;0,25;Erik Presley;President;14/09/1993;15000;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Le Baby Dress;62,38;80,5;17;"Women's Clothes";Fashion for Women;Like Paradis;Vanessa Paradis;203, Rue des Francs-Bourgeois;Paris;France;Roba di Piel;Jorge Alemaio;Alameda dos Canàrios, 891;São Paulo;Brazil;7,3560975609756
10373;37;15;1;71;2;1;9;9;30/11/2021;31,79;1271,5999952629;50;0,20000000298023;Helen Brolin;Sales Representative;15/02/1995;5000;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Atles Lussekofta;26,49;30,5;26;"Men's Clothes";Fashion for Men;Bar keri;Atle Sk†rdal;Hatlevegen 5;Sandvika;Norway;Boleros;Robert Bolero;8 Johnstown Road;Cork;Ireland;9,8076923076923
10373;37;27;8;58;2;1;9;9;30/11/2021;53,07;3396,4799873471;80;0,20000000298023;Helen Brolin;Sales Representative;15/02/1995;5000;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Onesy Dress;37,17;48,25;62;Baby Clothes;0-3 Years;Gal Export;Marie Desailly;22, rue H. Voiron;Montceau;France;Boleros;Robert Bolero;8 Johnstown Road;Cork;Ireland;15,692307692308
10374;91;27;8;58;2;2;8;8;31/05/2018;51,57;773,55;15;0;Leif Shine;Sales Coordinator;05/03/2004;5416,6666666667;Mellangatan. 33;Lund;Sweden;SafeAndFast;Onesy Dress;37,17;48,25;62;Baby Clothes;0-3 Years;Gal Export;Marie Desailly;22, rue H. Voiron;Montceau;France;Slotzy Danz;Boniekk Wallessa;ul. Filtrowa 68;Warszawa;Poland;15,176666666667
10374;91;14;1;31;2;2;8;8;31/05/2018;9,11;273,3;30;0;Leif Shine;Sales Coordinator;05/03/2004;5416,6666666667;Mellangatan. 33;Lund;Sweden;SafeAndFast;Rossi Bermuda Shorts;7,53;8,5;0;"Men's Clothes";Fashion for Men;Ravenna Fashion;Pablo Rossi;Viale Dante, 75;Ravenna;Italy;Slotzy Danz;Boniekk Wallessa;ul. Filtrowa 68;Warszawa;Poland;30,353333333333
10375;23;25;3;54;1;4;6;6;01/12/2018;32,95;329,5;10;0;Lennart Skoglund;Sales Representative;17/01/2004;5100;Boulevard 3;Nice;France;Quik Shipping;Patamonia Fleece Jacket;30,27;35,45;21;Sportswear;Sports clothing;Mountain International;Celine Dion;2960 Rue St. Laurent;Montr‚al;Canada;Champes;Jaques Wilneuve;184, chaussée de Tournai;Lille;France;28,364
10375;23;6;7;14;1;4;6;6;01/12/2018;21,59;323,85;15;0;Lennart Skoglund;Sales Representative;17/01/2004;5100;Boulevard 3;Nice;France;Quik Shipping;Kool Sunglasses;20,36;23,25;35;"Children's Clothes";3-15 Years;SatSUMAs;Hirosho Tayoto;92 Setsuko Chuo-ku;Osaka;Japan;Champes;Jaques Wilneuve;184, chaussée de Tournai;Lille;France;42,546
10376;51;14;1;31;3;5;1;1;03/07/2020;7,74;308,8259997578;42;0,050000000745058;Frank Roll;Sales Representative;01/10/2003;5083,3333333333;234 Sun Street;Seattle;USA;World Wide Transports;Rossi Bermuda Shorts;7,53;8,5;0;"Men's Clothes";Fashion for Men;Ravenna Fashion;Pablo Rossi;Viale Dante, 75;Ravenna;Italy;Davenport Fashion;James Belucci;43 rue St. Laurent;Montréal;Canada;76,39
10377;32;18;2;39;3;5;1;1;04/12/2018;59,78;1016,2599928737;20;0,15000000596046;Frank Roll;Sales Representative;01/10/2003;5083,3333333333;234 Sun Street;Seattle;USA;World Wide Transports;Terence Top;48,17;60;69;"Women's Clothes";Fashion for Women;Like Paradis;Vanessa Paradis;203, Rue des Francs-Bourgeois;Paris;France;The Corner Store;Ross The Boss;2732 Baker Blvd.;Eugene;USA;24,595
10377;32;12;7;28;3;5;1;1;04/12/2018;41,18;700,05999509096;20;0,15000000596046;Frank Roll;Sales Representative;01/10/2003;5083,3333333333;234 Sun Street;Seattle;USA;World Wide Transports;RDL Suit;36,81;45,6;26;"Children's Clothes";3-15 Years;Austerlich;Karl Heinz Berger;Bogenallee 51;Frankfurt;Germany;The Corner Store;Ross The Boss;2732 Baker Blvd.;Eugene;USA;24,595
10378;24;15;1;71;2;2;7;7;04/12/2020;28,19;169,14;6;0;Tom Lindwall;Sales Representative;22/11/1995;5083,3333333333;Mellangatan. 33;Lund;Sweden;SafeAndFast;Atles Lussekofta;26,49;30,5;26;"Men's Clothes";Fashion for Men;Bar keri;Atle Sk†rdal;Hatlevegen 5;Sandvika;Norway;Sport & Fritid AB;Linda Haglund;Åkergatan 24;Bräcke;Sweden;56,37
10379;61;7;2;63;2;1;2;2;10/12/2018;20,35;293,03999951482;16;0,10000000149012;Erik Presley;President;14/09/1993;15000;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Serve-Shirt;15,9;19,9;24;"Women's Clothes";Fashion for Women;New Balls;Pat Cash;74 Rose St. Moonie Ponds;Melbourne;Australia;Copacabana;Giovanni Santhos;Rua da Panificadora, 12;Rio de Janeiro;Brazil;22,847272727273
10379;61;19;8;41;2;1;2;2;10/12/2018;9,33;67,175999888778;8;0,10000000149012;Erik Presley;President;14/09/1993;15000;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Duck Shirt;7,28;9,65;85;Baby Clothes;0-3 Years;Mayflower;Ray Bourke;Order Processing Dept. 2100 Paul Revere Blvd.;Boston;USA;Copacabana;Giovanni Santhos;Rua da Panificadora, 12;Rio de Janeiro;Brazil;11,423636363636
10379;61;2;2;65;2;1;2;2;10/12/2018;10;179,99999970198;20;0,10000000149012;Erik Presley;President;14/09/1993;15000;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Stretch Pants;8,68;10,05;76;"Women's Clothes";Fashion for Women;Big L;James Brown;P.O. Box 78934;New Orleans;USA;Copacabana;Giovanni Santhos;Rua da Panificadora, 12;Rio de Janeiro;Brazil;28,559090909091
10380;37;13;8;30;2;1;9;9;12/12/2021;25,51;413,26199931577;18;0,10000000149012;Helen Brolin;Sales Representative;15/02/1995;5000;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Baby Dark Lounge Suit;22,71;25,89;10;Baby Clothes;0-3 Years;Executive Clothing GMBH;Markus Danzig;Frahmredder 112a;Cuxhaven;Germany;Boleros;Robert Bolero;8 Johnstown Road;Cork;Ireland;18,756486486486
10380;37;7;1;70;2;1;9;9;12/12/2021;27,15;814,5;30;0;Helen Brolin;Sales Representative;15/02/1995;5000;Citygatan. 1;Stockholm;Sweden;SafeAndFast;US-Master Jeans;24,98;29;15;"Men's Clothes";Fashion for Men;New Balls;Pat Cash;74 Rose St. Moonie Ponds;Melbourne;Australia;Boleros;Robert Bolero;8 Johnstown Road;Cork;Ireland;31,260810810811
10380;37;28;3;60;2;1;9;9;12/12/2021;4,8;25,919999957085;6;0,10000000149012;Helen Brolin;Sales Representative;15/02/1995;5000;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Game Over T-Shirt;4,44;5;19;Sportswear;Sports clothing;FrisersAfrong;Yannik Noah;Bat. B 3, rue des Alpes;Annecy;France;Boleros;Robert Bolero;8 Johnstown Road;Cork;Ireland;6,2521621621622
10380;37;24;2;53;2;1;9;9;12/12/2021;60,96;1097,2799981833;20;0,10000000149012;Helen Brolin;Sales Representative;15/02/1995;5000;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Jack Flash Dress;52,38;60,8;0;"Women's Clothes";Fashion for Women;Cangaroo Shoes;Crocodile Dundee;"170 Prince Edward Parade Hunter's Hill";Sydney;Australia;Boleros;Robert Bolero;8 Johnstown Road;Cork;Ireland;20,840540540541
10381;46;4;7;74;2;1;2;2;17/12/2018;30,59;428,26;14;0;Erik Presley;President;14/09/1993;15000;Citygatan. 1;Stockholm;Sweden;SafeAndFast;X-Train Shoes;24,39;30;4;"Children's Clothes";3-15 Years;Nitsuchiba;James Sushi;9-8 Sekimai Musashino-shi;Tokyo;Japan;Los Vatos Locos;Tony Montana;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Venezuela;45,81
10382;19;7;8;18;2;1;3;3;18/12/2018;26,78;241,02;9;0;Rob Carsson;Sales Representative;01/10/1994;5250;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Deuce Shirt;22,09;25,5;42;Baby Clothes;0-3 Years;New Balls;Pat Cash;74 Rose St. Moonie Ponds;Melbourne;Australia;Th Fashing;Greg Thatcher;35 King George;London;UK;3,9343636363636
10382;19;15;3;33;2;1;3;3;18/12/2018;27,49;1649,4;60;0;Rob Carsson;Sales Representative;01/10/1994;5250;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Casual Boots;20,2;25,5;112;Sportswear;Sports clothing;Bar keri;Atle Sk†rdal;Hatlevegen 5;Sandvika;Norway;Th Fashing;Greg Thatcher;35 King George;London;UK;26,229090909091
10382;19;2;1;5;2;1;3;3;18/12/2018;5,62;179,84;32;0;Rob Carsson;Sales Representative;01/10/1994;5250;Citygatan. 1;Stockholm;Sweden;SafeAndFast;O-Man Underwear;4,72;6;0;"Men's Clothes";Fashion for Men;Big L;James Brown;P.O. Box 78934;New Orleans;USA;Th Fashing;Greg Thatcher;35 King George;London;UK;13,988848484848
10382;19;12;6;29;2;1;3;3;18/12/2018;129,38;1811,32;14;0;Rob Carsson;Sales Representative;01/10/1994;5250;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Davenport Shoes;100,74;123,79;0;"Men's Footwear";Men Shoes;Austerlich;Karl Heinz Berger;Bogenallee 51;Frankfurt;Germany;Th Fashing;Greg Thatcher;35 King George;London;UK;6,1201212121212
10382;19;4;7;74;2;1;3;3;18/12/2018;27,21;1360,5;50;0;Rob Carsson;Sales Representative;01/10/1994;5250;Citygatan. 1;Stockholm;Sweden;SafeAndFast;X-Train Shoes;24,39;30;4;"Children's Clothes";3-15 Years;Nitsuchiba;James Sushi;9-8 Sekimai Musashino-shi;Tokyo;Japan;Th Fashing;Greg Thatcher;35 King George;London;UK;21,857575757576
10383;82;6;8;13;3;5;1;1;20/04/2021;26,18;523,6;20;0;Frank Roll;Sales Representative;01/10/2003;5083,3333333333;234 Sun Street;Seattle;USA;World Wide Transports;Aino Shoes;21,11;25;24;Baby Clothes;0-3 Years;SatSUMAs;Hirosho Tayoto;92 Setsuko Chuo-ku;Osaka;Japan;Bond Ltd;Mark Stark;722 DaVinci Blvd.;Kirkland;USA;20,774545454545
10383;82;23;4;50;3;5;1;1;20/04/2021;15,43;231,45;15;0;Frank Roll;Sales Representative;01/10/2003;5083,3333333333;234 Sun Street;Seattle;USA;World Wide Transports;Finnish Swimsuit;13,57;16,25;65;Swimwear;Beach clothing;Nordik Koskenkorva;Juha Mieto;Valtakatu 12;Lappeenranta;Finland;Bond Ltd;Mark Stark;722 DaVinci Blvd.;Kirkland;USA;15,580909090909
10383;82;26;5;56;3;5;1;1;20/04/2021;41,32;826,4;20;0;Frank Roll;Sales Representative;01/10/2003;5083,3333333333;234 Sun Street;Seattle;USA;World Wide Transports;Slip-on Shoes;34,17;38;21;"Women's Footwear";Ladies Shoes;Pirilli Company;Alberto Tomba;Via dei Gelsomini, 153;Salerno;Italy;Bond Ltd;Mark Stark;722 DaVinci Blvd.;Kirkland;USA;20,774545454545
10384;5;28;3;60;2;1;2;2;25/12/2018;5,32;79,8;15;0;Erik Presley;President;14/09/1993;15000;Citygatan. 1;Stockholm;Sweden;SafeAndFast;Game Over T-Shirt;4,44;5;19;Sportswear;Sports clothing;FrisersAfrong;Yannik Noah;Bat. B 3, rue des Alpes;Annecy;France;Urras Shop;Urra Gurra Aktersnurra;Berguvsvägen  8;Luleå;Sweden;23,047674418605
